status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,ScoreTextBlob,ScoreVader,ScoreAzure,ScoreStanfordCoreNLP,ScoreGoogleNLP,ScoreIBMNLP
399030656818342_1070278176360250,ছোটখাট অনেক ভুল আমাদের থাকতে পারে। কিন্তু স্বপ্নগুলো তো আর ভুল নয়। তাই ছোট ছোট স্বপ্ন পূরণের কাজে সারা দেশে নেমে গেছে স্বপ্ন। স্বপ্নের সাথে থাকুন।,,video,https://www.facebook.com/Shwapno.ACILL/videos/1070278176360250/,2016-07-28 12:39:07,34566,290,547,34231,207,83,28,8,9,0,0.00,0.00,-1000.00,-1000.00,0.00,-1000.00
399030656818342_1068432586544809,,Shwapno Life SALE!,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.1068432559878145.1073741870.399030656818342/1068432586544809/?type=3,2016-07-25 14:22:21,1478,10,12,1471,4,2,1,0,0,0,0.00,0.00,-1000.00,-1000.00,0.00,-1000.00
399030656818342_1068424009879000,ছোটখাট অনেক ভুল আমাদের থাকতে পারে। কিন্তু স্বপ্নগুলো তো আর ভুল নয়। তাই ছোট ছোট স্বপ্ন পূরণের কাজে সারা দেশে নেমে গেছে স্বপ্ন। স্বপ্নের সাথে থাকুন।,,video,https://www.facebook.com/Shwapno.ACILL/videos/1068424009879000/,2016-07-25 14:15:39,44668,424,2193,43652,675,238,64,23,16,0,0.00,0.00,-1000.00,-1000.00,0.00,-1000.00
399030656818342_1068413579880043,ছোটখাট অনেক ভুল আমাদের থাকতে পারে। কিন্তু স্বপ্নগুলো তো আর ভুল নয়। তাই ছোট ছোট স্বপ্ন পূরণের কাজে সারা দেশে নেমে গেছে স্বপ্ন। স্বপ্নের সাথে থাকুন।,,video,https://www.facebook.com/Shwapno.ACILL/videos/1068413579880043/,2016-07-25 13:54:46,44531,554,3119,43852,480,116,49,21,13,0,0.00,0.00,-1000.00,-1000.00,0.00,-1000.00
399030656818342_1056587721062629,"EID MUBARAK

May this EID glorify our Motherland with unity and strength.",Timeline Photos,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.399106963477378.104125.399030656818342/1056587721062629/?type=3,2016-07-06 08:50:43,5654,31,14,5632,17,3,2,0,0,0,0.00,0.78,-1000.00,3.00,0.20,0.66
399030656818342_1052547304800004,,SHWAPNO,video,https://www.facebook.com/Shwapno.ACILL/videos/1041162685938466/,2016-06-29 02:10:29,161,1,0,161,0,0,0,0,0,0,0.00,0.00,-1000.00,-1000.00,0.00,-1000.00
399030656818342_1051953491526052,কেনাকাটা সহজ করার পাশাপাশি ভোক্তার অধিকার সুপ্রতিষ্ঠিত করার জন্যই অর্গানাইজড রিটেইলের জন্ম,মধ্যবিত্ত জীবনের ছোট ছোট স্বপ্নের অংশীদার হওয়ার চেষ্টা করে ‘স্বপ্ন’,link,http://bonikbarta.com/news/2016-06-28/79077/মধ্যবিত্ত-জীবনের-ছোট-ছোট-স্বপ্নের-অংশীদার-হওয়ার-চেষ্টা-করে-‘স্বপ্ন’/,2016-06-28 01:55:40,957,11,33,951,3,2,1,0,0,0,0.00,0.00,-1000.00,-1000.00,0.00,-1000.00
399030656818342_1048625298525538,"Dress your dreams to make your mark: http://bit.ly/EidCollection2016

All dresses are available across all outlets throughout Ramadan",Timeline Photos,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.399106963477378.104125.399030656818342/1048625298525538/?type=3,2016-06-26 10:40:00,390,4,1,386,3,0,1,0,0,0,0.40,0.40,-1000.00,1.00,0.60,0.00
399030656818342_1048624818525586,"Dress your dreams to make your mark: http://bit.ly/EidCollection2016

All dresses are available across all outlets throughout Ramadan",Timeline Photos,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.399106963477378.104125.399030656818342/1048624818525586/?type=3,2016-06-25 23:39:00,10650,16,4,10626,11,12,1,0,0,0,0.40,0.40,-1000.00,1.00,0.60,0.00
399030656818342_1048624531858948,"SHWAPNO Eid Collection 2016 
Dress Your Dreams to Make Your Mark
VIEW EID COLLECTION: http://bit.ly/EidCollection2016",Timeline Photos,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.399106963477378.104125.399030656818342/1048624531858948/?type=3,2016-06-25 10:37:00,4011,7,1,3995,13,1,2,0,0,0,0.00,0.40,-1000.00,2.00,0.10,0.63
399030656818342_1048623615192373,"SHWAPNO Introduces Eid Collection 2016 [FULL ALBUM]: http://bit.ly/EidCollection2016

All dresses will be available across all outlets from 1st Ramadan",Timeline Photos,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.399106963477378.104125.399030656818342/1048623615192373/?type=3,2016-06-24 23:36:00,9794,15,8,9739,31,18,5,1,0,0,0.38,0.00,-1000.00,1.00,0.50,0.00
399030656818342_1048623455192389,"Dress your dreams to make your mark: http://bit.ly/EidCollection2016

All dresses will be available across all outlets from 1st Ramadan",Timeline Photos,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.399106963477378.104125.399030656818342/1048623455192389/?type=3,2016-06-24 10:35:00,361,3,0,358,1,0,1,0,1,0,0.40,0.40,-1000.00,1.00,0.60,0.00
399030656818342_1048622988525769,"VIEW EID COLLECTION: http://bit.ly/EidCollection2016

All dresses will be available across all outlets throughout Ramadan",Timeline Photos,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.399106963477378.104125.399030656818342/1048622988525769/?type=3,2016-06-23 23:34:00,3500,9,1,3492,5,3,0,0,0,0,0.40,0.00,-1000.00,2.00,0.60,0.00
