status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
407422362695986_471993782905510,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/459301977508024/?type=3,2014-01-29 09:00:00,26,2,2,26,0,0,0,0,0,0
407422362695986_469576473147241,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/459301777508044/?type=3,2014-01-23 09:00:00,20,0,0,20,0,0,0,0,0,0
407422362695986_468812489890306,"#Handwashingwith soap CAN make a difference.
Share this video to #helpachildreach5! www.youtube.com/watch?v=UF7oU_YSbBQ",Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/459301497508072/?type=3,2014-01-21 09:00:00,12,0,3,12,0,0,0,0,0,0
407422362695986_467602916677930,Help us do more and make this 100%! Share this post and #helpchildreach5.,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/459300950841460/?type=3,2014-01-18 09:00:00,19,2,3,19,0,0,0,0,0,0
407422362695986_465840173520871,"#helpachildreach5 today, share this video now: http://goo.gl/k4SRRc",Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/459300690841486/?type=3,2014-01-14 09:00:00,11,1,1,11,0,0,0,0,0,0
407422362695986_463845727053649,Share this video with all your family and friends to #helpachildreach5:http://goo.gl/k4SRRc,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/459300127508209/?type=3,2014-01-09 09:00:00,8,0,1,8,0,0,0,0,0,0
407422362695986_462629307175291,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/459299850841570/?type=3,2014-01-06 09:00:00,13,0,0,13,0,0,0,0,0,0
407422362695986_461403660631189,Want to find out more? Click here: http://goo.gl/v2wreQ,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/459299550841600/?type=3,2014-01-03 09:00:01,13,0,5,13,0,0,0,0,0,0
407422362695986_460432597394962,"We’ve come a long way in preventing infections and saving lives, thanks to you!
Will you join us again this year?",Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/459299064174982/?type=3,2013-12-31 23:00:00,20,0,0,20,0,0,0,0,0,0
407422362695986_459485174156371,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/453634458074776/?type=3,2013-12-30 11:00:00,12,0,1,12,0,0,0,0,0,0
